school,date,type,count
Little Voices,2021-01-01,Did not work on Focus,1
Little Voices,2021-02-01,Did not work on Focus,1
Little Voices,2021-02-01,Storytelling/Storyacting,1
Little Voices,2021-02-01,Read Aloud,1
Little Voices,2021-04-01,Storytelling/Storyacting,2
Little Voices,2021-05-01,Intro to Centers,1
Little Voices,2021-05-01,Center,1
Little Voices,2021-05-01,Storytelling/Storyacting,1
Little Voices,2021-05-01,Heggerty,1
Little Voices,2021-05-01,Center,1
Little Voices,2021-09-01,Did not work on Focus,1
Little Voices,2021-10-01,Intro to Centers,2
Little Voices,2021-10-01,Center,2
Little Voices,2021-10-01,Literacy small groups,1
Little Voices,2021-10-01,Read Aloud,1
Little Voices,2021-11-01,Center,2
Little Voices,2021-11-01,Thinking and Feedback,2
Little Voices,2021-11-01,Heggerty,2
Little Voices,2021-11-01,Intro to Centers,1
Little Voices,2021-11-01,Center,1
Little Voices,2021-11-01,Did not work on Focus,1
Little Voices,2021-12-01,Intro to Centers,1
Little Voices,2021-12-01,Center,1
Little Voices,2021-12-01,Thinking and Feedback,1
Little Voices,2021-12-01,Literacy small groups,1
Nurtury - Learning Lab,2021-01-01,Did not work on Focus,1
Nurtury - Learning Lab,2021-01-01,Intro to Centers,1
Nurtury - Learning Lab,2021-01-01,Read Aloud,1
Nurtury - Learning Lab,2021-12-01,Intro to Centers,1
Nurtury - Learning Lab,2021-02-01,Intro to Centers,1
Nurtury - Learning Lab,2021-02-01,Read Aloud,1
Hattie B Cooper,2021-01-01,Thinking and Feedback,2
Hattie B Cooper,2021-02-01,Center,2
Hattie B Cooper,2021-03-01,Read Aloud,1
Hattie B Cooper,2021-04-01,Read Aloud,1
Hattie B Cooper,2021-05-01,Did not work on Focus,1
Hattie B Cooper,2021-12-01,Did not work on Focus,1
Hattie B Cooper,2021-12-01,Heggerty,1
Hattie B Cooper,2021-12-01,Heggerty,1
Boys & Girls Club - Denny,2021-10-01,Did not work on Focus,1
YMCA - East Boston,2021-01-01,Did not work on Focus,1
YMCA - East Boston,2021-01-01,Literacy small groups,2
YMCA - East Boston,2021-02-01,Literacy small groups,2
YMCA - East Boston,2021-03-01,Center,1
YMCA - East Boston,2021-03-01,Literacy small groups,1
YMCA - East Boston,2021-03-01,Center,1
YMCA - East Boston,2021-04-01,Did not work on Focus,1
YMCA - East Boston,2021-05-01,Did not work on Focus,1
YMCA - East Boston,2021-11-01,Did not work on Focus,1
Wesley,2021-01-01,Did not work on Focus,1
Wesley,2021-01-01,Center,1
Wesley,2021-01-01,Literacy small groups,1
Wesley,2021-02-01,Literacy small groups,1
Wesley,2021-02-01,Heggerty,1
Wesley,2021-03-01,Did not work on Focus,2
Wesley,2021-04-01,Did not work on Focus,3
Wesley,2021-05-01,Did not work on Focus,1
Wesley,2021-06-01,Did not work on Focus,1
Wesley,2021-11-01,Intro to Centers,1
Wesley,2021-11-01,Center,1
Wesley,2021-11-01,Read Aloud,1
Wesley,2021-11-01,Did not work on Focus,1
Wesley,2021-12-01,Center,1
Wesley,2021-12-01,Read Aloud,1
Wesley,2021-12-01,Heggerty,1
Paige Academy,2021-01-01,Intro to Centers,1
Paige Academy,2021-01-01,Center,1
Paige Academy,2021-02-01,Center,1
Paige Academy,2021-03-01,Center,1
Paige Academy,2021-05-01,Intro to Centers,1
Paige Academy,2021-05-01,Center,1
Paige Academy,2021-05-01,Thinking and Feedback,1
Paige Academy,2021-06-01,Intro to Centers,1
Paige Academy,2021-06-01,Center,1
Paige Academy,2021-06-01,Thinking and Feedback,1
Children Services of Roxbury,2021-11-01,Did not work on Focus,1
Boys & Girls Club - Marr,2021-02-01,Did not work on Focus,2
Boys & Girls Club - Marr,2021-01-01,Did not work on Focus,1
Boys & Girls Club - Marr,2021-03-01,Did not work on Focus,1
Boys & Girls Club - Marr,2021-04-01,Did not work on Focus,1
Boys & Girls Club - Marr,2021-06-01,Did not work on Focus,1
Boys & Girls Club - Marr,2021-10-01,Did not work on Focus,1
Ellis Memorial,2021-01-01,Heggerty,1
Ellis Memorial,2021-01-01,Intro to Centers,1
Ellis Memorial,2021-01-01,Intro to Centers,1
Ellis Memorial,2021-01-01,Read Aloud,1
Ellis Memorial,2021-01-01,Heggerty,1
Mission Grammar,2021-01-01,Literacy small groups,4
Mission Grammar,2021-03-01,Center,1
Mission Grammar,2021-05-01,Did not work on Focus,1
Mission Grammar,2021-10-01,Literacy small groups,1
Mission Grammar,2021-11-01,Literacy small groups,1
Mission Grammar,2021-11-01,Read Aloud,1
Boys & Girls Club - McLaughlin,2021-06-01,Did not work on Focus,1
Boys & Girls Club - McLaughlin,2021-09-01,Did not work on Focus,1
YMCA Wang,2021-01-01,Center,1
YMCA Wang,2021-01-01,Literacy small groups,1
YMCA Wang,2021-02-01,Center,1
YMCA Wang,2021-02-01,Literacy small groups,1
YMCA Wang,2021-03-01,Literacy small groups,2
YMCA Wang,2021-04-01,Literacy small groups,1
YMCA Wang,2021-10-01,Center,1
YMCA Wang,2021-10-01,Intro to Centers,1
YMCA Wang,2021-10-01,Center,1
YMCA Wang,2021-09-01,Intro to Centers,1
YMCA Wang,2021-09-01,Center,1
VietAid,2021-01-01,Center,1
VietAid,2021-01-01,Heggerty,1
VietAid,2021-02-01,Center,1
VietAid,2021-02-01,Heggerty,1
VietAid,2021-03-01,Center,1
VietAid,2021-03-01,Read Aloud,1
VietAid,2021-03-01,Heggerty,1
VietAid,2021-03-01,Did not work on Focus,1
VietAid,2021-04-01,Did not work on Focus,1
VietAid,2021-05-01,Center,1
VietAid,2021-05-01,Read Aloud,1
VietAid,2021-05-01,Storytelling/Storyacting,1
VietAid,2021-05-01,Thinking and Feedback,1
ABCD Hyde Park,2021-01-01,Intro to Centers,1
ABCD Hyde Park,2021-01-01,Center,1
ABCD Hyde Park,2021-02-01,Literacy small groups,1
ABCD Hyde Park,2021-03-01,Did not work on Focus,1
ABCD Hyde Park,2021-04-01,Did not work on Focus,1
ABCD Hyde Park,2021-05-01,Center,1
ABCD Hyde Park,2021-10-01,Center,1
Nurtury - Mt Pleasant,2021-01-01,Intro to Centers,1
Nurtury - Mt Pleasant,2021-02-01,Did not work on Focus,1
YMCA - West Roxbury,2021-02-01,Storytelling/Storyacting,2
YMCA - West Roxbury,2021-03-01,Storytelling/Storyacting,1
YMCA - West Roxbury,2021-04-01,Storytelling/Storyacting,1
YMCA - West Roxbury,2021-05-01,Center,1
YMCA - West Roxbury,2021-09-01,Did not work on Focus,1
YMCA - West Roxbury,2021-10-01,Literacy small groups,1
YMCA - West Roxbury,2021-10-01,Thinking and Feedback,1
YMCA - West Roxbury,2021-11-01,Heggerty,1
YMCA - West Roxbury,2021-12-01,Heggerty,1
BCNC,2021-01-01,Read Aloud,1
BCNC,2021-01-01,Read Aloud,2
BCNC,2021-01-01,Thinking and Feedback,2
BCNC,2021-02-01,Read Aloud,1
BCNC,2021-02-01,Heggerty,1
BCNC,2021-02-01,Heggerty,1
BCNC,2021-02-01,Did not work on Focus,1
BCNC,2021-03-01,Did not work on Focus,2
BCNC,2021-03-01,Read Aloud,1
BCNC,2021-04-01,Read Aloud,1
BCNC,2021-04-01,Did not work on Focus,1
BCNC,2021-05-01,Read Aloud,1
BCNC,2021-09-01,Did not work on Focus,1
ABCD - Walnut Grove,2021-01-01,Center,2
ABCD - Walnut Grove,2021-01-01,Literacy small groups,2
ABCD - Walnut Grove,2021-03-01,Literacy small groups,1
ABCD - Walnut Grove,2021-09-01,Center,1
ABCD - Walnut Grove,2021-10-01,Did not work on Focus,1
